|   Parameter |       Units |               Median |                 -Error |                 +Error |
| ----------- | ----------- | -------------------- | ---------------------- | ---------------------- |
|    log(P) 1 |        days |   1.1314051239813736 | 1.9979255778679317e-06 |  2.264235820614857e-06 |
|        Tc 1 | BJD-2457000 |    10000.99994498874 |  6.213476808625273e-05 |  5.452030927699525e-05 |
|       ror 1 |             |  0.10532119193358203 | 0.00012269097837219745 | 0.00014230082184087112 |
| log(a/rs) 1 |             |   2.3527806311443626 |   0.005173814477487326 |  0.0026813960297453754 |
|    cos(i) 1 |             | 0.009217604690622806 |   0.005569462334939431 |   0.006273040457549898 |
|    log(K) 1 |         m/s |    4.975069733348246 |  0.0009780700489230298 |  0.0016293699736875666 |
|      secw 1 |             | -0.07869814947553039 |  0.0013557514288780742 |  0.0013763971105795053 |
|      sesw 1 |             |  0.44024573419102714 |  0.0010006521564818183 |  0.0011083458425577009 |
|       F0 LC |             |   1.0002038804021207 |  9.586522945248532e-06 |  9.243126835922766e-06 |
|       gamma |         m/s |   5.0824199744848215 |     0.1134192952095372 |    0.12233224233860795 |
|         P 1 |        days |    3.100009338733913 | 6.1935817621261435e-06 |  7.019160135346425e-06 |
|        Rp 1 |      Rearth |     9.49818218495365 |     0.4129535863761493 |    0.40977729708658295 |
|      a/rs 1 |             |     10.4161485413259 |      0.443532763194046 |     0.5062020766590933 |
|         a 1 |          AU |  0.04005617129135412 | 0.00045793885893907066 | 0.00044859937662637683 |
|         i 1 |         deg |     89.4718626750288 |     0.3594467638366865 |    0.31911370127653527 |
|         e 1 |             |  0.20002106285469806 |  0.0009015395248956337 |  0.0009502173457056062 |
|         w 1 |         deg |   100.12740970918945 |    0.17207468553407068 |    0.18233163311531086 |
|         K 1 |         m/s |   144.75891932074336 |    0.14151514653516983 |    0.23605810355127232 |
|        Mp 1 |      Mearth |   299.87522598403336 |      6.866973778210934 |     6.6944715258721885 |
|      rhop 1 |      g/cm^3 |   1.9216027195047984 |     0.2343266346495414 |     0.2849302544149195 |
|       teq 1 |           K |   1139.2855506983842 |     29.518765104395015 |     27.606052363460776 |
|      sinc 1 |      Searth |   280.73131807023964 |     27.983521851755995 |     28.214661104828167 |
|         b 1 |             |  0.07649777136822036 |    0.04658024083345348 |   0.052986152754992855 |
|       dur 1 |          hr |   2.5071127326144316 |    0.11822385492611032 |    0.11611685885016865 |
|      rhos 1 |      g/cm^3 |    2.224503233483307 |    0.27223757222343425 |     0.3403505415177004 |
|       TSM 1 |             |   57.015579419234314 |      4.188072173212198 |      4.174552973917535 |
|       rstar |        Rsun |   0.8266144693583503 |    0.03650716195306025 |    0.03579472315747545 |
|       mstar |        Msun |   0.8912936545577363 |   0.030227746160207514 |   0.030302178822827708 |
|       Tstar |           K |    5198.196570770306 |      47.00734873759029 |      49.75261817873616 |
